[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
[14:45:59][INFO] chunks=40 drawCount will compute...
